,Unnamed: 0,tweet_text,sentiment,emojis
19,1859,Bom dia hoje tem X Factor. O time do Louis tem o Anthony. Que desistiu do programa ano passado por problemas pessoais e o Louis o ajudou agora ele é mentor dele. E também uma Drag Queen viva a diversidade 🌈 Os outros quatro candidatos vamos conhecer com o tempo ),1,['🌈']
20,1866,sangriaman Arquimedes1143 Se não houvesse políticos corruptos a justiça tb não era assim! 😉 É um ciclo meu caro. ),1,['😉']
21,1875,to pasma achei que esse negócio dos  putinho porque as armys tao votando no hoseok era fake até ver uma mina postando no status 1print com várias pessoas falando isso meu deuskkkk a chacota é real poxa armys vamos votar em outra pessoa no nosso fav nao pode (🚫🚫❌❌👺,0,"['🚫', '🚫', '❌', '❌', '👺']"
22,1883,😜😎 Um imortal... e ninguém lembra dele só o general Mourão D Pelo menos já sabemos que nosso futuro vice tem gosto pela leitura. 🤫🤫🤫 https//t.co/In1lwno2Wp,1,"['😜', '😎', '🤫', '🤫', '🤫']"
23,1923,😜😎 Um imortal... e ninguém lembra dele só o general Mourão D Pelo menos já sabemos que nosso futuro vice tem gosto pela leitura. 🤫🤫🤫 https//t.co/UGtvJlt0Pk,1,"['😜', '😎', '🤫', '🤫', '🤫']"
24,1986,lirt47 😜😎 Um imortal... e ninguém lembra dele só do general Mourão D Pelo menos já sabemos que nosso futuro vice tem gosto pela leitura. 🤫🤫🤫 https//t.co/FU8ydBGsrq,1,"['😜', '😎', '🤫', '🤫', '🤫']"
25,2131,jairbolsonaro JNGGRGJNITEJGHY N SEI PQ MAS EU TO RINDO MTO MEU JGITEJHIOJRIHU5RJUO75S Pelo ao menos falou d Coréia adoro! ^^♥ Meu marido mora lá ),1,['♥']
26,2176,rafaelgantois pse!!! tenho familiares que acho q vão votar nele ( massss são todos pessoas maravilhosas e AI de quem chamar qualquer um deles de qualquer coisa! 😡,0,['😡']
27,2196,republica_ctba Jrodrigues1954 🤣🤣🤣🤣🤣🤣 Assim mesmo o povo ainda vai votar nele )!,1,"['🤣', '🤣', '🤣', '🤣', '🤣', '🤣']"
28,2244,🔥🔥GENTE ME AJUDEM PF !! Eu to concorrendo pra tocar numa festa fod e eu preciso muito da ajuda de vocês me ajudem por favor!! Só votar no “Giovane SulkinEu to perdendo com +400 votos ( RT!!!!! https//t.co/HUoVjmdWa9 https//t.co/0jxjDrUxFN,0,"['🔥', '🔥']"
29,2247,Pessoal Hoje uma amiga vai participar do FESTIVAL SOLTA A VOZ ) Ela conta o voto de vcs!! A partir das 20h vocês podem votar acessando o Instagram /Facebook oldhuntersoficial Boa Sorte Lorê ❤️ Torçam bastante !!! E a hashtag do dia é gratidão https//t.co/ZZG3GzbidC,1,['❤']
30,2271,jioonseok BTS_twt Simm! Vamos votar no Hoseok também os sete são a maravilha do mundo têm que estar nessa lista  ))) ☀️JHoooooope☀️ Veja aqui como fazer 👇 https//t.co/dXcBH2VEI8 … … …,1,"['☀', '☀', '👇']"
31,2313,Infelizmente não fomos nomeados em nenhuma categoria dos PTFandomAwards  ficamos um bocado tristes porque tentamos dar sempre o melhor mas para o ano há mais 😜 O Bieber &amp as beliebers estão nomeados toca a votar! Assim que sair o site publicamos )),1,['😜']
32,2381,BORA VOTAR Genteeee aaaa Eles estão perdendo ( Vamos nos unir e fazer acontecer &gt&lt♡ Aqui tem como tutorial como vota 👇Ajuda muito❤ https//t.co/rrGCNUH7Ou BTSxSoribada,0,"['👇', '❤']"
33,2385,〖VOTAÇÃO〗 1. Se Jin vencer ele receberá um artigo escrito apenas sobre ele o 2° lugar está apenas alguns votos atrás do 1º lugar ( 2. Link para votar https//t.co/ACvNcnNZWF ⚠ Abaixo deste tweet você encontrará como votar. KCAArgentina BTS BTS_twt https//t.co/5ThocV9vhk,0,['⚠']
34,2390,bts_stan4lifeu opajungg BTS_twt É só a gente confiar e votar que a gente consegue! 😊 Não é impossível ),1,['😊']
35,2413,CCambara2 O PT em uma canetada vai ajudar a reeleger muitos golpistas ...né? Desculpe não quero mais falar sobre o assunto.) QUEREMOS VOTAR LulaLivrePresidente 😍 https//t.co/mWNtni7jnY,1,['😍']
36,2426,_brenodesouza Acho a Manu um pouco extremista mas confio no Haddad ( queria Lulinha e Haddad imagina que sonhooOoOoO ❤️,0,['❤']
37,2467,mmarescast O caminho é pela Esquerda! PT+PCdoB+PROS+PCO 💍e PSOL também ) EsquerdistasSeguemEsquerdistas,1,['💍']
38,2482,maria96295135 Provavelmente não 😭 infelizmente não há ninguém (pelo menos que eu saiba) que viva Versailles e não haveria muita gente a ir infelizmente... acho que os portugueses não vivem muito estas coisas ( está de acordo?,0,['😭']
39,2485,Bee Simulator é um jogo 🎮 no qual o jogador é uma abelha 🐝. Na beedesign estamos ansiosos por experimentar! ) be creative . be bold . be gamming . beedesign 📢 🐝 😁 🎮 https//t.co/fQ8qkksgFy https//t.co/fQ8qkksgFy,1,"['🎮', '🐝', '📢', '🐝', '😁', '🎮']"
40,2522,Bee Simulator é um jogo 🎮 no qual o jogador é uma abelha 🐝. Na beedesign estamos ansiosos por experimentar! ) be creative . be bold . be gamming . beedesign 📢 🐝 😁 🎮 https//t.co/fQ8qkksgFy,1,"['🎮', '🐝', '📢', '🐝', '😁', '🎮']"
41,2525,flappuccino_ 😁😁😁 os dois primeiros falam de política o terceiro trata de temas juridicos de uma forma q da pra td mundo entender o quarto é autoexplicativo hehehe o quinto é sobre assuntos LGBT e o Nexo é do portal Nexo trata de atualidades em geral ),1,"['😁', '😁', '😁']"
42,2580,guizeraplay JoseGoomes augustoces7 GuilhermeBoulos psol50 Não sabe diferenciar uma força de expressão de um debate petralha? Normal entender seu posicionamento político frente a sua capacidade de interpretação e entendimento de texto 😉 Fim de debate pra mim com você ),1,['😉']
43,2605,BolsonaroNaBand está em 3° lugar! 👏👏👏 Agora falando sobre educação só vai subir mais ),1,"['👏', '👏', '👏']"
44,2633,GENTE ATENÇÃO! NOVA DATA PRO MEETUP DE AGOSTO! É NO DIA 15 DE AGOSTO ) 💻 PRÓXIMO MEETUPCSS Data 15/08 Local GetNinjas (próximo ao metrô Fradique Coutinho) Horário 19h00 às 21h30 https//t.co/DbOsLOE50w,1,['💻']
45,2673,Manooooo minha conta foi bloqueada 😱😱😱😱 voltei agora - posso nem zuar o DebateBand mais (,0,"['😱', '😱', '😱', '😱']"
46,2827,LulaOficial BandTV Será que ele foi impedido pq é um presidiário? 🤔 Acho que sim mas é tanta gente da esquerda que não entende que fico em dúvida p,1,['🤔']
47,2828,Como disse um amigo meu eu fui votar nesse cara ajudei o mesmo a parar na cadeia... triste... ( pior que votei nele mesmo... 😂 https//t.co/h6Ivcpeqv0,0,['😂']
48,2860,brina_gugli O pior é que aqui no Paraná o ratinho Junior é candidato a governador e ele que estava á frente da campanha do desarmamento ( acho que vou mandar o livro do benebarbosa_mvb pra ele 😎,0,['😎']
49,2868,luciocaramori Nossa meus parabéns 👏👏 gostei bastante do seu post. Concordo com a maioria das coisas que você falou porque faz muito sentido. Eu só fiquei curiosa em saber na sua opinião qual candidato na seria o mais aceitável no momento. ),1,"['👏', '👏']"
50,2908,GetShwiftyBirgo 🌻 6ºano reunião para o CRA - a diretora obrigou-me a ir. Tu falaste como candidato ao CRA achei-te ganda cromo mas fixe um cromo fixe xD - olha que votei em ti )) 🍯 o amigo que nos compra buída - dos melhores &lt3 Saudades das nossas aulas ) Siga Avante?,1,"['🌻', '🍯']"
51,2917,DebateBand Sou totalmente contra a legalização do aborto mas se for aprovado que seja pelo SUS que aí dá tempo da criança nascer ) 👶👩 CapitaoNaBand,1,"['👶', '👩']"
52,3163,Jardim_Marina tá correndo risco ( por isso é bom assistir até quarta pra prolongarem 🙌,0,['🙌']
53,3175,Vou até dormir depois dessa troca de gentilezas 🙄🙄🙄 Um beijo pra ti e boa noite dona Marina ❤️ Fique bem e até qualquer hora (p... — HahahhaAh linda p Desculpa só ver agora eu capotei &gt&lt Boa sorte vai dar tudo certo! 🙏🏼🙏🏼 Ok Ciç... https//t.co/n8WBAXOc4C,1,"['🙄', '🙄', '🙄', '❤', '🙏', '🏼', '🙏', '🏼']"
54,3187,Falta pouco pra alcançar o top trends twitter mundial .. nossa família de Brasileiros Bolsonarianos é demaisssss ))) e só aumenta a acada dia! posso dizer que amo todos !? 😎 Drica_Patriota BonoroPistola EuVotoBolsonaro EstouComBolsonaro,1,['😎']
55,3224,BolsonaroNaBand Sou totalmente contra a legalização do aborto mas se for aprovado que seja pelo SUS que aí dá tempo da criança nascer ) 👶👩,1,"['👶', '👩']"
56,3233,marina fez meu dia )) 💛,1,['💛']
57,3343,VitaminaPT FranciscaLima54 Credo 😂😂 eu ando no gym não quero falhar muitos dias pq sou aplicada e não quero desiludir o meu pt ))),1,"['😂', '😂']"
58,3371,Varsóvia tem muito para (re)descobrir! Já conhece? ) ➡️ https//t.co/LrQFwNcxRm https//t.co/LrQFwNcxRm,1,['➡']
59,3379,Em 2016 ocupamos a CMBH com duas vereadoras cidafalabella e aureacarolina! 👊🏾Agora temos uma nova missão e para isso precisamos de você! ) Bora fazer de novo? Outra política é possível – e já tá rolando! 👉 Inscreva-se aqui https//t.co/3w15Tr4lNm SomosMUITAS https//t.co/cyJJEqksG6,1,"['👊', '🏾', '👉']"
60,3392,Agora sim! Preparado para bebidas ainda mais fresquinhas! Tenho os melhores clientes/alunos do mundo! ) Obrigado Fábrica de Alumínios Brandão - https//t.co/3Idbu9XNrO por esta fantástica surpresa! 😉🍺 formacaopersonalizada adobe marketingdigital https//t.co/g9ECvS8vDd,1,"['😉', '🍺']"
61,3428,ramosbrunow ô maniazinha desse povo achar que ser contra bolsonaro é ser a favor do lula🙄. O que eu disse é verdade indignaçao seletiva é o q mais tem ),1,['🙄']
62,3454,Leo dias soltou que o Chay saiu da festa da preta com a Morena. Ou seja Chana 👎🏻 — Marina morena? meninaaaa ( https//t.co/Y0nj2Y0ARM,0,"['👎', '🏻']"
63,3560,aff dps do Daciolo ontem fez o Bolsonaro parecer menos insano 🤦🏻 as chances dele ganhar aumenta (,0,"['🤦', '🏻']"
64,3565,ReginaCostaS2S2 Eu acredito em vc querida 🙌🏽 vota no álvaro até no alckmin mas por favor.. nesse cidadão não ( qto aos jornais realmente acontece um show de horrores mesmo,0,"['🙌', '🏽']"
65,3637,ManuelaDavila gasofilastro Ahhh e eu pensado que era vc... ( mas quero essa dança de vc entrando no Palácio do Planalto.... 😍😍😍😍😍,0,"['😍', '😍', '😍', '😍', '😍']"
66,3726,carteiroreaca nadia1monteiro 👏👏Bolsonaro por atitudes como essa - de que o 🇧🇷 - está carente  vc terá meu voto 🗳 e ganha outros milhares dia a dia 💪💪 ! Estamos juntos ) 👍,1,"['👏', '👏', '🗳', '💪', '💪', '👍']"
67,3767,A matemática não mente... Tirando o PSDB de Alckmin o MDB do Meirelles e o PSL do Bolsonaro só sobra o PT de Lula. 45-15-17 = 13 ) Vamos de 13 !!! ✊,1,['✊']
68,3843,milavoidz PT mas queria poder votar no ciro e no boulos tbm ( ❤️ o ciro é fã de strokes né ou eu sonhei? Kkk,0,['❤']
69,3949,Como seria essa chapa? 🤔 Lula presidente Haddad vice Manuela vice do vice e Ciro vice do vice do vice? Não obrigado. Desse circo eu prefiro que fiquemos fora. Mas quem quiser ser palhaco fique a vontade ) https//t.co/10CWvdvPbq,1,['🤔']
70,4022,VamosRenovarTudo QuemTemMedoDoAmoedo partidonovo30 Joao Amoedo já está com 3% em SC. QUEM TEM 😱 DO AMOEDO?? ) https//t.co/Ppn9i5HJhZ https//t.co/1VB6DFRXDY,1,['😱']
71,4069,adrianalfalcao flaviocpinheiro _Mari_Ella_ Reis04Reis joaoamoedonovo Nao está sendo convidado ha uma censura da midia e dos adversários ao Joao Amoedo. Leia a matéria abaixo sobre QUEM TEM 😱 DO AMOEDO? ) QuemTemMedoDoAmoedo https//t.co/Ppn9i5HJhZ,1,['😱']
72,4139,Já conhece o companheiro e candidato a governador pelo PSOL MottaTarcisio? Ainda não? Então vamos apresentando aos pouquinhos... ) Confira o primeiro da série de vídeos que contam um pouco mais da sua história 😊 SóaLutaMudaaVida Tarcísio50 https//t.co/mUP8O7Woa5,1,['😊']
73,4176,Falando nisso o thedimrio nosso candidato a deputado federal no Rio de Janeiro já tem número 4️⃣5️⃣4️⃣5️⃣✅ Assim é fácil! D https//t.co/jTcX3oJkgi,1,['✅']
74,4294,Esta conta publica automaticamente tweets de Bolsonaro um bom a seguir até ele se juntar a Gab mesmo ) 😎👉👉 https//t.co/iHhffbnrxm,1,"['😎', '👉', '👉']"
75,4360,folha Bolsonaro so disse verdades ) tmj capitão!! 👉🏼👉🏼,1,"['👉', '🏼', '👉', '🏼']"
76,4387,Drica_Patriota dalva0806 Meu nome é Ricardo  tenho 62 anos e moro em SP Capital - vou a Campinas semanalmente a trabalho - e Bolsonaro tem me 🗳 ! Estamos juntos ),1,['🗳']
77,4541,[12/08/2018 070531]  nem PT nem PSDB nem PV eu quero é VCBB ) [12/08/2018 070543] bom dia 🤣❤❤,1,"['🤣', '❤', '❤']"
78,4577,_btss_armyy_ 95anasantos carolinavicenet FabyFigueira7 SofiaCostaSilva bts_in_pt armyportugues13 parkLynn_ Nono_Army filipa_borba loveparkjeon Timida e não sei meter conversa e faço figura de otaria ( No entanto espero que um dia possa acontecer 😊💜 Espero que estejas bem e que mesmo não sendo possível estares bem sempre que tenhas sempre forças para te erguer e lutar pela tua felicidade 💜 Espero que estejas feliz +,0,"['😊', '💜', '💜']"
79,4649,Thaissda_ Estamos realmente chateados com o fato de sua demanda não ter sido suprida dentro de suas expectativas. Você consegue procurar a nossa equipe do Facebook para que possamos lhe ajudar de maneira mais assertiva? ) https//t.co/WPVmLwwb80 💜,1,['💜']
80,4653,Lucianabharaujo https//t.co/JBD83LLqFD pega esse link do youtube e cola nesse site 👇ai é só baixar ) https//t.co/6fBoqtXJVL,1,['👇']
81,4725,IsaCamarggo Ficamos felizes em saber que está satisfeita com suas amostras! ❤ Que tal escrever uma avaliação no nosso site? É muito importante para nós saber sua opinião https//t.co/Rhu8N5ZLZf ),1,['❤']
82,4733,heitorrock _DoNotCare_ Tulyhander joaninhasincera FantaciniR jairbolsonaro Então a China é um país fascista 🤔 Acho engraçado que quem é de esquerda só cita como fascismo o que veio depois dele e nunca o que veio antes socialismo intervenção estatal e coletivismo ) Direita?,1,['🤔']
83,4752,Inacreditável Futebol Clube!!!P PS4share EA SPORTS™ FIFA 18 https//t.co/wlTZR5VDLp https//t.co/Gk3uSit0t7,1,['™']
84,4767,gente ((( preciso falar com voces urgente! sabe o hitler? descobri q ele eh problematico.... como ngm me disse isso? ugh! enfim agora que falei peço que boicotem TUDO do governo alemao!!! passamos muito pano pra ele!!!! embuste nao 👹👹👹,0,"['👹', '👹', '👹']"
85,4769,JorgerammsteinP CedeSilva carteiroreaca _ibras Capacidade de argumentação certamente não foi característica da Dilma. 🤔 O país dá a entender que não escolhe por retórica. Ou teríamos Enéias como presidente em outros tempos. A vdd é que eles estão sendo estratégicos visto que mesmo sem uma boa oratória ele cresce. ),1,['🤔']
86,4842,juliamullerg aceofangel8 anacanas Sim sim Kkjjj tá vendo? Não sou um fascistão se quiser conversar mais sobre política e etc.. me chama no pv )) ♥️♥️,1,"['♥', '♥']"
87,4979,Apereira2505 Anocas mamocassssss es super linda linda lindaestás pt de morena..tbm quero lool ( qq cena já sabes Lindona 💓,0,['💓']
88,5024,😋 LiloCason o lance é que se o Gremio tivesse se classificado ontem eu passaria o dia e quem sabe a semana falando de futebol. Fomos eliminados agora só me resta política. Não gosto de mais nada além de futebol e política P,1,['😋']
89,5076,🐙 és linda linda linda não quero que vás embora pt ( tenho saudades de te aturar mesmo estando de mau humor desculpa por qualquer coisa a sério //,0,['🐙']
90,5124,taegrly BLACKPINK_PT Ai que lindinha (💖💖,0,"['💖', '💖']"
91,5163,Última Oportunidade!! Todos os artigos de Homem com desconto D Aproveita os portes Grátis 🚚 não deixes escapar 😘😘 Faz já a tua encomenda por mensagem ou em https//t.co/6RZvlJGbQG Portes De envio Grátis em compras superiores a 40€,1,"['🚚', '😘', '😘']"
92,5344,Cara acho incrível como você fala sobre tudo política sexualidade profissão sonhos e escolhas e etc pfv conversa cmg ) — Aaah chama na DM pra gente conversar ♥ https//t.co/yDjIy1kw7c,1,['♥']
93,5384,jairbolsonaro Aliança de geraldoalckmin é com o CENTRÃO!!! 🧐🚓🧐 Estão querendo polarizar com o capitão e o general mas não vai rolar ),1,"['🧐', '🚓', '🧐']"
94,5407,Ocupações dos candidatos na Globo News  ( fake news ) Empresários Advogados Políticos Economista Liberais .... Engraçado  esqueceram de colocar presidiário como ocupação 😂😂😂😂,0,"['😂', '😂', '😂', '😂']"
95,5460,Hoje foi um dia fantástico! Juntos com cirogomes tuliogadelha Antônio Neto Marcelo Candido e Gleides Sodré lançamos a candidatura da minha amiga tabataamaralsp para a deputada federal ) 1️⃣2️⃣✅🌹 https//t.co/CM7r9kqCaX,1,"['✅', '🌹']"
96,5466,UTILIDADE PÚBLICA! Deixando um pouco de lado os Memes divertidos e adoráveis da querida URSAL(♥️🐻🚩) entendamos de fato o que é o Foro de São Paulo muito bem colocado pelo Sr. Abdala deturpado pelas fake news. Leiam e compartilhem para que todos sejam bem esclarecidos ) https//t.co/SSJZ9VPSzO,1,"['♥', '🐻', '🚩']"
97,5506,Queria estar na praiaigual o 🐙 está na foto ( LulaOficial https//t.co/JwqKG2sbki,0,['🐙']
98,5512,GuedesTaline jairbolsonaro nossa (((( td dia uma notícia de feminicidio... mas nãaaaao..... vamos liberar armas sim q vai dar td certo. 🙄,0,['🙄']
99,5592,Você sente falta de alguém agora? 😢 — sim do meu Billyzinho... ( https//t.co/00gi2Z5jxO,0,['😢']
100,5605,ralzsanatomy Jk eu amo absurdamente os dois ) Mas ARTPOP é meu fave da gaga enquanto Froot é meu fave da estudante de psicologia Marina 🤷‍♂️,1,"['🤷', '♂']"
101,5790,Eu espero que Deus tenha misericórdia deste país porque essa eleição tá bem complicada a escolha. Tudo mais do mesmo. ( E esses debates não estão convencendo. 😔,0,['😔']
102,5877,dassmariaduarte Ahahah não é o da D. Alice (mas vou dizer-lhe que estás com desejos e ela faz para ti 😂) Comi hoje um no Jet7 da Marina e não era mau ),1,['😂']
103,5989,[20/08/2018 210555] Marina se quiser leva a folha amanha e eu faço [20/08/2018 210756] carloss❤️ tem q entregar na primeira aula nega [20/08/2018 212334] Marina ah confio no meu potencial ehh [20/08/2018 212443] carloss❤️ eu nao ent vou fazer agr (,0,"['❤', '❤']"
104,6027,Alguém ai que ainda está em dúvida em quem votar para presidente. Me chama no Messenger vamos trocar uma ideia. Conheço um bom )👉👉,1,"['👉', '👉']"
105,6067,Oi Stephanie. ) Olha eu shippo a safada da Marina com outra pessoa mas eu te acho muito fofinha 😍🙈 — Ala que ridícula —. https//t.co/Qym3wNfKum,1,"['😍', '🙈']"
106,6150,⚡️ Lula tem 39% das intenções de voto segundo Datafolha. Bolsonaro aparece com 19%. Não imaginava que datafolha acha que presidiário poderia se candidatar -((( Já começa errado,0,['⚡']
107,6174,BolsonaroSP jairbolsonaro carteiroreaca Bolsonaro fica a dica pra falar no próximo debate  ( diz ao teu pai) Marina citou uma passagem bíblica no debate da rede TV onde dizia Ensina o menino (a) no caminho em que deve andar... Mas ela esqueceu que pra ensinar a criança primeiramente é preciso deixá-la nascer.📖,0,['📖']
108,6190,ManuelaDavila Se for o Lula candidatoe ganharvc não vai pro Jaburumas pelo mrnos vai tomar em um lugar que rima com Jaburu🤣🤣🤣🤣🤣 ).,1,"['🤣', '🤣', '🤣', '🤣', '🤣']"
109,6274,crisstianerc HadamesWilson cleiton_militar MarinaSilva Posta aí que posto a propina da JBS do seu candidato tbm ) Ahh e ela não responde a nenhum processo se vc sabe algo que a Justiça não sabe denúncia lá no Ministério Público 😀 Beijão,1,['😀']
110,6426,[21/8 2004] marina ok só isso? [21/8 2009]  Tá bom então [21/8 2010]  😘 [21/8 2010] marina 😘 [21/8 2014]  Cara para de graça pô ),1,"['😘', '😘']"
111,6453,taniclercristin Para que possamos auxiliar você consegue procurar a nossa equipe do Facebook para que possamos lhe ajudar de maneira mais assertiva? ) https//t.co/WPVmLwwb80 💜 ou ligue para o Fale com Eudora no 0800 727 4533 de um telefone fixo ) Chega lá e Eudora 💜,1,"['💜', '💜']"
112,6565,e não choca ninguém ❤️ Ciro apenas 5% ( https//t.co/MzIJFJpMBa,0,['❤']
113,6615,Nova Colecção Já temos alguns modelos disponíveis D Avisa as tuas amigas 📣 📣 e clica em 👉👉 https//t.co/NYdeSiM4sF,1,"['📣', '📣', '👉', '👉']"
114,6643,Nova Colecção Já temos alguns modelos disponíveis D Avisa as tuas amigas 📣 📣 e clica em 👉👉 https//t.co/NYdeSj3FRf,1,"['📣', '📣', '👉', '👉']"
115,6660,iury_chiganer reaconaria 👍🏻 cara como eu queria um candidato como ele aqui no meu estado (,0,"['👍', '🏻']"
116,6710,💳 Bandeiras aceitas MasterCard Visa American Express Elo Hipercard Hiper Diners Club International ㅤ 💵 Valores 30 dias - R$2000 90 dias - R$5500 ㅤ ⭐ Em caso de dúvida entre em contato via https//t.co/mZ9hRWtbBC ou diretamente com o suporte da Hotmart D,1,"['💳', '💵', '⭐']"
117,6780,NaoInviabilize Hahahahahaha toca aqui Déia. Dilma é meu amor maior. E gosto muitíssimo do Genoíno também (cearense que nem eu 💙). Se brincar gosto mais deles que do Lula P (que vez ou outra me faz raiva),1,['💙']
118,6806,juliocbr joaoamoedonovo partidonovo30 Apesar de discordar com você na análise de qual o melhor candidato eu entendo em partes seu posicionamento. Não tento mudar o voto de ninguém apenas sugiro que analisem planos de governo e capacidade de efetivar propostas. Quem sabe não temos 30 x 17 no segundo turno ) 🌊🍊,1,"['🌊', '🍊']"
119,6829,A minha semana foi tranquila tirando que não passei em entrevista. Bolsonaro é um dos caras mais contraditórios que já. Eu amo... — Aaah que pena que não passou (( mas não desista mais oportunidades virão 💓 eu me estresso mto d... https//t.co/Bj3olE6aTI,0,['💓']
120,6859,Meu padrasto disse hoje que ia votar no bolsonaro e eu ameacei expulsa-lo daqui de casa e bochechamãe me apoiou ) Agora ele tá pianiiiiiiinho ) E eu bem felizzzzZzz 😁,1,['😁']
121,6880,Vocês podem desativar os cookies e votar várias vezes ) só seguir as imagens 😉,1,['😉']
122,6911,Dingo Qual é o rookie vídeo especial que você quer ver novamente? Vamos votar no KHAN! Pressione ❤ no post do Facebook do Dingo ) KHAN Minju EunaKim https//t.co/ff3SHS4bP3,1,['❤']
123,6971,34. ➡ Narração do encontro Pt. 1 Eu sei que tá horrívelmas eu tentei. Relevem se tiver algum erro ( https//t.co/rY65oSWSPD,0,['➡']
124,7011,A partir de quinta começa o TiraTeima no The Voice Brasil! Bora virar a internet de cabeça pra baixo? Esse link (https//t.co/cf4YCTUfx3) explica tudo sobre a votação. ) Marca geral aqui! TeamAlan Alanzada 🎶quemomento https//t.co/kLW9EQdaLe,1,['🎶']
125,7043,danjoonie Verdade ( tava lendo uma matéria no g1 que dizia que nesse período de eleição ele vai ficar bem instável e talvez suba até pra 5 reais 😭😭😭😭,0,"['😭', '😭', '😭', '😭']"
126,7088,EISENHOWER27 TSEjusbr jairbolsonaro BolsonaroSP CarlosBolsonaro FlavioBolsonaro JoelAlexandreM Tarik_mohad RoseBarros__ Fabi_Moller_ roxmo lpbragancabr SimoneRJ_BR É por isso que a Globo News tá bombando ) (e nos próximos 4 anos vai melhorar 🤣),1,['🤣']
127,7134,foxbr71 Quando eu terminar 😂 não pretendo antes das eleições. Mas não fica ansioso não é só mais um livro ),1,['😂']
